param,value,instance,run,init_best,final_best,improvement,gens,evals
pm,0.4,tuneB_2,8,-668,-41,627,689,40022
pm,0.4,tuneB_2,9,-670,-24,646,689,40022
pm,0.4,tuneC_0,0,-701,-174,527,689,40022
pm,0.4,tuneC_0,1,-673,-171,502,689,40022
pm,0.4,tuneC_0,2,-682,-166,516,689,40022
pm,0.4,tuneC_0,3,-646,-165,481,689,40022
pm,0.4,tuneC_0,4,-679,-189,490,689,40022
pm,0.4,tuneC_0,5,-690,-197,493,689,40022
pm,0.4,tuneC_0,6,-663,-177,486,689,40022
pm,0.4,tuneC_0,7,-683,-178,505,689,40022
pm,0.4,tuneC_0,8,-678,-167,511,689,40022
pm,0.4,tuneC_0,9,-684,-169,515,689,40022
pm,0.4,tuneC_1,0,-699,-148,551,689,40022
pm,0.4,tuneC_1,1,-682,-154,528,689,40022
pm,0.4,tuneC_1,2,-702,-153,549,689,40022
pm,0.4,tuneC_1,3,-688,-118,570,689,40022
pm,0.4,tuneC_1,4,-706,-153,553,689,40022
pm,0.4,tuneC_1,5,-704,-174,530,689,40022
pm,0.4,tuneC_1,6,-708,-161,547,689,40022
pm,0.4,tuneC_1,7,-660,-120,540,689,40022
pm,0.4,tuneC_1,8,-684,-159,525,689,40022
pm,0.4,tuneC_1,9,-685,-161,524,689,40022
pm,0.6,tuneA_0,0,-501,398,899,689,40022
pm,0.6,tuneA_0,1,-511,398,909,689,40022
pm,0.6,tuneA_0,2,-516,401,917,689,40022
pm,0.6,tuneA_0,3,-498,398,896,689,40022
pm,0.6,tuneA_0,4,-528,388,916,689,40022
pm,0.6,tuneA_0,5,-533,398,931,689,40022
pm,0.6,tuneA_0,6,-497,398,895,689,40022
pm,0.6,tuneA_0,7,-523,408,931,689,40022
pm,0.6,tuneA_0,8,-535,418,953,689,40022
pm,0.6,tuneA_0,9,-493,418,911,689,40022
pm,0.6,tuneA_1,0,-519,321,840,689,40022
pm,0.6,tuneA_1,1,-487,344,831,689,40022
pm,0.6,tuneA_1,2,-537,259,796,689,40022
pm,0.6,tuneA_1,3,-559,328,887,689,40022
pm,0.6,tuneA_1,4,-501,279,780,689,40022
pm,0.6,tuneA_1,5,-514,341,855,689,40022
pm,0.6,tuneA_1,6,-518,354,872,689,40022
pm,0.6,tuneA_1,7,-550,347,897,689,40022
pm,0.6,tuneA_1,8,-494,354,848,689,40022
pm,0.6,tuneA_1,9,-530,347,877,689,40022
pm,0.6,tuneA_2,0,-562,415,977,689,40022
pm,0.6,tuneA_2,1,-523,424,947,689,40022
pm,0.6,tuneA_2,2,-532,411,943,689,40022
pm,0.6,tuneA_2,3,-525,424,949,689,40022
pm,0.6,tuneA_2,4,-527,407,934,689,40022
pm,0.6,tuneA_2,5,-558,415,973,689,40022
pm,0.6,tuneA_2,6,-549,415,964,689,40022
pm,0.6,tuneA_2,7,-484,415,899,689,40022
pm,0.6,tuneA_2,8,-539,424,963,689,40022
pm,0.6,tuneA_2,9,-547,407,954,689,40022
pm,0.6,tuneB_0,0,-637,190,827,689,40022
pm,0.6,tuneB_0,1,-619,193,812,689,40022
pm,0.6,tuneB_0,2,-604,162,766,689,40022
pm,0.6,tuneB_0,3,-579,205,784,689,40022
pm,0.6,tuneB_0,4,-584,205,789,689,40022
pm,0.6,tuneB_0,5,-619,202,821,689,40022
pm,0.6,tuneB_0,6,-591,177,768,689,40022
pm,0.6,tuneB_0,7,-589,181,770,689,40022
pm,0.6,tuneB_0,8,-598,210,808,689,40022
pm,0.6,tuneB_0,9,-626,205,831,689,40022
pm,0.6,tuneB_1,0,-577,192,769,689,40022
pm,0.6,tuneB_1,1,-514,211,725,689,40022
pm,0.6,tuneB_1,2,-591,178,769,689,40022
pm,0.6,tuneB_1,3,-573,203,776,689,40022
pm,0.6,tuneB_1,4,-581,155,736,689,40022
pm,0.6,tuneB_1,5,-570,157,727,689,40022
pm,0.6,tuneB_1,6,-566,223,789,689,40022
pm,0.6,tuneB_1,7,-592,206,798,689,40022
pm,0.6,tuneB_1,8,-590,196,786,689,40022
pm,0.6,tuneB_1,9,-593,220,813,689,40022
pm,0.6,tuneB_2,0,-680,39,719,689,40022
pm,0.6,tuneB_2,1,-672,-9,663,689,40022
pm,0.6,tuneB_2,2,-679,42,721,689,40022
pm,0.6,tuneB_2,3,-685,-36,649,689,40022
pm,0.6,tuneB_2,4,-672,-24,648,689,40022
pm,0.6,tuneB_2,5,-678,-11,667,689,40022
pm,0.6,tuneB_2,6,-645,8,653,689,40022
pm,0.6,tuneB_2,7,-643,46,689,689,40022
pm,0.6,tuneB_2,8,-668,30,698,689,40022
pm,0.6,tuneB_2,9,-670,71,741,689,40022
pm,0.6,tuneC_0,0,-701,-160,541,689,40022
pm,0.6,tuneC_0,1,-673,-166,507,689,40022
pm,0.6,tuneC_0,2,-682,-189,493,689,40022
pm,0.6,tuneC_0,3,-646,-165,481,689,40022
pm,0.6,tuneC_0,4,-679,-174,505,689,40022
pm,0.6,tuneC_0,5,-690,-164,526,689,40022
pm,0.6,tuneC_0,6,-663,-159,504,689,40022
pm,0.6,tuneC_0,7,-683,-167,516,689,40022
pm,0.6,tuneC_0,8,-678,-152,526,689,40022
pm,0.6,tuneC_0,9,-684,-162,522,689,40022
pm,0.6,tuneC_1,0,-699,-138,561,689,40022
pm,0.6,tuneC_1,1,-682,-132,550,689,40022
pm,0.6,tuneC_1,2,-702,-159,543,689,40022
pm,0.6,tuneC_1,3,-688,-154,534,689,40022
pm,0.6,tuneC_1,4,-706,-156,550,689,40022
pm,0.6,tuneC_1,5,-704,-149,555,689,40022
pm,0.6,tuneC_1,6,-708,-164,544,689,40022
pm,0.6,tuneC_1,7,-660,-162,498,689,40022
pm,0.6,tuneC_1,8,-684,-148,536,689,40022
pm,0.6,tuneC_1,9,-685,-173,512,689,40022
pm,0.8,tuneA_0,0,-501,418,919,689,40022
pm,0.8,tuneA_0,1,-511,418,929,689,40022
pm,0.8,tuneA_0,2,-516,418,934,689,40022
pm,0.8,tuneA_0,3,-498,418,916,689,40022
pm,0.8,tuneA_0,4,-528,408,936,689,40022
pm,0.8,tuneA_0,5,-533,418,951,689,40022
pm,0.8,tuneA_0,6,-497,408,905,689,40022
pm,0.8,tuneA_0,7,-523,418,941,689,40022
pm,0.8,tuneA_0,8,-535,408,943,689,40022
pm,0.8,tuneA_0,9,-493,408,901,689,40022
pm,0.8,tuneA_1,0,-519,341,860,689,40022
pm,0.8,tuneA_1,1,-487,352,839,689,40022
pm,0.8,tuneA_1,2,-537,352,889,689,40022
pm,0.8,tuneA_1,3,-559,347,906,689,40022
pm,0.8,tuneA_1,4,-501,347,848,689,40022
pm,0.8,tuneA_1,5,-514,308,822,689,40022
pm,0.8,tuneA_1,6,-518,271,789,689,40022
pm,0.8,tuneA_1,7,-550,362,912,689,40022
pm,0.8,tuneA_1,8,-494,341,835,689,40022
pm,0.8,tuneA_1,9,-530,347,877,689,40022
pm,0.8,tuneA_2,0,-562,391,953,689,40022
pm,0.8,tuneA_2,1,-523,424,947,689,40022
pm,0.8,tuneA_2,2,-532,397,929,689,40022
pm,0.8,tuneA_2,3,-525,365,890,689,40022
pm,0.8,tuneA_2,4,-527,415,942,689,40022
pm,0.8,tuneA_2,5,-558,424,982,689,40022
pm,0.8,tuneA_2,6,-549,424,973,689,40022
pm,0.8,tuneA_2,7,-484,424,908,689,40022
pm,0.8,tuneA_2,8,-539,415,954,689,40022
pm,0.8,tuneA_2,9,-547,424,971,689,40022
pm,0.8,tuneB_0,0,-637,196,833,689,40022
pm,0.8,tuneB_0,1,-619,173,792,689,40022
pm,0.8,tuneB_0,2,-604,180,784,689,40022
pm,0.8,tuneB_0,3,-579,205,784,689,40022
pm,0.8,tuneB_0,4,-584,178,762,689,40022
pm,0.8,tuneB_0,5,-619,175,794,689,40022
pm,0.8,tuneB_0,6,-591,204,795,689,40022
pm,0.8,tuneB_0,7,-589,166,755,689,40022
pm,0.8,tuneB_0,8,-598,179,777,689,40022
pm,0.8,tuneB_0,9,-626,181,807,689,40022
pm,0.8,tuneB_1,0,-577,208,785,689,40022
pm,0.8,tuneB_1,1,-514,154,668,689,40022
pm,0.8,tuneB_1,2,-591,221,812,689,40022
pm,0.8,tuneB_1,3,-573,178,751,689,40022
pm,0.8,tuneB_1,4,-581,141,722,689,40022
pm,0.8,tuneB_1,5,-570,139,709,689,40022
pm,0.8,tuneB_1,6,-566,201,767,689,40022
pm,0.8,tuneB_1,7,-592,204,796,689,40022
pm,0.8,tuneB_1,8,-590,165,755,689,40022
pm,0.8,tuneB_1,9,-593,92,685,689,40022
pm,0.8,tuneB_2,0,-680,20,700,689,40022
pm,0.8,tuneB_2,1,-672,52,724,689,40022
pm,0.8,tuneB_2,2,-679,17,696,689,40022
pm,0.8,tuneB_2,3,-685,32,717,689,40022
pm,0.8,tuneB_2,4,-672,1,673,689,40022
pm,0.8,tuneB_2,5,-678,9,687,689,40022
pm,0.8,tuneB_2,6,-645,24,669,689,40022
pm,0.8,tuneB_2,7,-643,34,677,689,40022
pm,0.8,tuneB_2,8,-668,40,708,689,40022
pm,0.8,tuneB_2,9,-670,9,679,689,40022
pm,0.8,tuneC_0,0,-701,-166,535,689,40022
pm,0.8,tuneC_0,1,-673,-166,507,689,40022
pm,0.8,tuneC_0,2,-682,-160,522,689,40022
pm,0.8,tuneC_0,3,-646,-159,487,689,40022
pm,0.8,tuneC_0,4,-679,-164,515,689,40022
pm,0.8,tuneC_0,5,-690,-182,508,689,40022
pm,0.8,tuneC_0,6,-663,-177,486,689,40022
pm,0.8,tuneC_0,7,-683,-178,505,689,40022
pm,0.8,tuneC_0,8,-678,-173,505,689,40022
pm,0.8,tuneC_0,9,-684,-157,527,689,40022
pm,0.8,tuneC_1,0,-699,-154,545,689,40022
pm,0.8,tuneC_1,1,-682,-150,532,689,40022
pm,0.8,tuneC_1,2,-702,-176,526,689,40022
pm,0.8,tuneC_1,3,-688,-175,513,689,40022
pm,0.8,tuneC_1,4,-706,-154,552,689,40022
pm,0.8,tuneC_1,5,-704,-196,508,689,40022
pm,0.8,tuneC_1,6,-708,-172,536,689,40022
pm,0.8,tuneC_1,7,-660,-150,510,689,40022
pm,0.8,tuneC_1,8,-684,-130,554,689,40022
pm,0.8,tuneC_1,9,-685,-153,532,689,40022
